author,gender,birth_year,age,previous_awards,title,award_year,genre,publisher,winner
Michael Chabon,male,1963,45,debutant,The Yiddish Policemen's Union,2008,SF,HarperCollins,1
Joe Haldeman,male,1943,65,ex_winner,The Accidental Time Machine,2008,SF,Ace,0
Nalo Hopkinson,female,1960,48,ex_nominee,The New Moon's Arms,2008,SF,Warner,0
Jack McDevitt,male,1935,73,ex_winner,Odyssey,2008,SF,Ace,0
Tobias S. Buckell,male,1979,29,debutant,Ragamuffin,2008,SF,Tor,0
Jack McDevitt,male,1935,72,ex_nominee,Seeker,2007,SF,Ace,1
Jo Walton,female,1964,43,debutant,Farthing,2007,SF,Tor,0
Richard Bowes,male,1944,63,debutant,From the Files of the Time Rangers,2007,SF,Golden Gryphon Press,0
Jeffrey Ford,male,1955,52,debutant,The Girl in the Glass,2007,SF,HarperCollins/Dark Alley,0
Ellen Kushner,female,1955,52,debutant,The Privilege of the Sword,2007,Fantasy,Bantam Spectra,0
Wil McCarthy,male,1966,41,ex_nominee,To Crush the Moon,2007,SF,Bantam Spectra,0
Joe Haldeman,male,1943,63,ex_winner,Camouflage,2006,SF,Ace,1
Geoff Ryman,male,1951,55,debutant,Air,2006,SF,St. Martin's,0
Terry Pratchett,male,1948,58,debutant,Going Postal,2006,Fantasy,HarperCollins,0
Susanna Clarke,female,1959,47,debutant,Jonathan Strange & Mr Norrell,2006,Fantasy,Bloomsbury,0
John C. Wright,male,1961,45,debutant,Orphans of Chaos,2006,Fantasy,Tor,0
Jack McDevitt,male,1935,71,ex_nominee,Polaris,2006,SF,Ace,0
Lois McMaster Bujold,female,1949,56,ex_winner,Paladin of Souls,2005,Fantasy,Eos,1
David Mitchell,male,1969,36,debutant,Cloud Atlas,2005,SF,Random House,0
Cory Doctorow,male,1971,34,debutant,Down and Out in the Magic Kingdom,2005,SF,Tor,0
Gene Wolfe,male,1931,74,ex_winner,The Knight,2005,Fantasy,Tor,0
Jack McDevitt,male,1935,70,ex_nominee,Omega,2005,SF,Ace,0
Sean Stewart,male,1965,40,ex_nominee,Perfect Circle,2005,Fantasy,Small Beer Press,0
Elizabeth Moon,female,1945,59,debutant,The Speed of Dark,2004,SF,Ballantine,1
Jack McDevitt,male,1935,69,ex_nominee,Chindi,2004,SF,Ace,0
Lois McMaster Bujold,female,1949,55,ex_winner,Diplomatic Immunity,2004,SF,Baen,0
Kathleen Ann Goonan,female,1952,52,ex_nominee,Light Music,2004,SF,Eos,0
Carol Emshwiller,female,1921,83,debutant,The Mount,2004,SF,Small Beer Press,0
Nalo Hopkinson,female,1960,44,ex_nominee,The Salt Roads,2004,Fantasy,Warner,0
Neil Gaiman,male,1960,43,debutant,American Gods,2003,Fantasy,Morrow,1
Michael Swanwick,male,1950,53,ex_winner,Bones of the Earth,2003,SF,Eos,0
Ursula K. Le Guin,female,1929,74,ex_winner,The Other Wind,2003,Fantasy,Harcourt,0
China Miéville,male,1972,31,debutant,Perdido Street Station,2003,Fantasy,Del Rey,0
Robert A. Metzger,male,1956,47,debutant,Picoverse,2003,SF,Ace,0
Kelley Eskridge,female,1960,43,debutant,Solitaire,2003,SF,Eos,0
Catherine Asaro,female,1955,47,ex_nominee,The Quantum Rose,2002,SF,Tor,1
Wil McCarthy,male,1966,36,debutant,The Collapsium,2002,SF,Ballantine Del Rey,0
Tim Powers,male,1952,50,ex_nominee,Declare,2002,Fantasy,Subterranean Press,0
Jeffrey A. Carver,male,1949,53,debutant,Eternity's End,2002,SF,Tor,0
Geoffrey A. Landis,male,1955,47,debutant,Mars Crossing,2002,SF,Tor,0
Connie Willis,female,1945,57,ex_winner,Passage,2002,SF,Bantam,0
George R. R. Martin,male,1948,54,ex_nominee,A Storm of Swords,2002,Fantasy,Bantam Spectra,0
Patricia A. McKillip,female,1948,54,ex_nominee,The Tower at Stony Wood,2002,Fantasy,Ace,0
Greg Bear,male,1951,50,ex_winner,Darwin's Radio,2001,SF,Ballantine Del Rey,1
Lois McMaster Bujold,female,1949,52,ex_winner,A Civil Campaign,2001,Fantasy,Baen,0
Kathleen Ann Goonan,female,1952,49,debutant,Crescent City Rhapsody,2001,SF,Avon Eos,0
Charles de Lint,male,1951,50,debutant,Forests of the Heart,2001,Fantasy,Tor,0
Jack McDevitt,male,1935,66,ex_nominee,Infinity Beach,2001,SF,HarperPrism,0
Nalo Hopkinson,female,1960,41,debutant,Midnight Robber,2001,SF,Warner Aspect,0
Octavia E. Butler,female,1947,53,ex_nominee,Parable of the Talents,2000,SF,Seven Stories Press,1
Ken MacLeod,male,1954,46,debutant,The Cassini Division,2000,SF,Tor,0
George R. R. Martin,male,1948,52,ex_nominee,A Clash of Kings,2000,Fantasy,Bantam Spectra,0
Vernor Vinge,male,1944,56,ex_nominee,A Deepness in the Sky,2000,SF,Tor,0
Maureen F. McHugh,female,1959,41,ex_nominee,Mission Child,2000,SF,Avon Eos,0
Sean Stewart,male,1965,35,debutant,Mockingbird,2000,Fantasy,Ace,0
Joe Haldeman,male,1943,56,ex_winner,Forever Peace,1999,SF,Ace,1
Martha Wells,female,1964,35,debutant,The Death of the Necromancer,1999,Fantasy,Avon,0
Harry Turtledove,male,1949,50,debutant,How Few Remain,1999,Fantasy,Ballantine Del Rey,0
Catherine Asaro,female,1955,44,debutant,The Last Hawk,1999,SF,Tor,0
Jack McDevitt,male,1935,64,ex_nominee,Moonfall,1999,SF,HarperPrism,0
Connie Willis,female,1945,54,ex_winner,To Say Nothing of the Dog,1999,SF,Bantam Spectr,0
Vonda N. McIntyre,female,1948,50,ex_winner,The Moon and the Sun,1998,Fantasy,Pocket,1
Jack McDevitt,male,1935,63,debutant,Ancient Shores,1998,SF,HarperPrism,0
Connie Willis,female,1945,53,ex_winner,Bellwether,1998,SF,Bantam Spectra,0
Walter Jon Williams,male,1953,45,ex_nominee,City on Fire,1998,SF,HarperPrism,0
George R. R. Martin,male,1948,50,debutant,A Game of Thrones,1998,Fantasy,Bantam Spectra,0
Kate Elliott,female,1958,40,debutant,King's Dragon,1998,Fantasy,DAW,0
Lois McMaster Bujold,female,1949,49,ex_winner,Memory,1998,SF,Baen,0
Nicola Griffith,female,1960,37,debutant,Slow River,1997,SF,Ballantine Del Rey,1
Neal Stephenson,male,1959,38,debutant,The Diamond Age,1997,SF,Bantam Spectra,0
Tim Powers,male,1952,45,ex_nominee,Expiration Date,1997,Fantasy,Tor,0
Nina Kiriki Hoffman,female,1955,42,debutant,The Silent Strength of Stones,1997,Fantasy,AvoNova,0
Robert J. Sawyer,male,1960,37,ex_winner,Starplex,1997,SF,Ace,0
Patricia A. McKillip,female,1948,49,debutant,Winter Rose,1997,Fantasy,Ace,0
Robert J. Sawyer,male,1960,36,debutant,The Terminal Experiment,1996,SF,HarperPrism,1
Nancy Kress,female,1948,48,ex_nominee,Beggars and Choosers,1996,SF,Tor,0
Gene Wolfe,male,1931,65,ex_winner,Caldé of the Long Su,1996,SF,Tor,0
Paul Park,male,1954,42,debutant,Celestis,1996,SF,Tor,0
Walter Jon Williams,male,1953,43,debutant,Metropolitan,1996,Fantasy,HarperPrism,0
John Barnes,male,1957,39,ex_nominee,Mother of Storms,1996,SF,Tor,0
Greg Bear,male,1951,44,ex_nominee,Moving Mars,1995,SF,Tor,1
Kim Stanley Robinson,male,1952,43,ex_winner,Green Mars,1995,SF,Bantam Spectra,0
Jonathan Lethem,male,1964,31,debutant,"Gun, With Occasional Music",1995,SF,Harcourt Brace,0
Roger Zelazny,male,1937,58,ex_nominee,A Night in the Lonesome October,1995,Fantasy,Morrow AvoNova,0
Octavia E. Butler,female,1947,48,debutant,Parable of the Sower,1995,SF,Four Walls Eight Windows,0
Rachel Pollack,female,1945,50,debutant,Temporary Agency,1995,Fantasy,St. Martin's,0
James Morrow,male,1947,48,ex_nominee,Towing Jehovah,1995,Fantasy,Harcourt Brace,0
Kim Stanley Robinson,male,1952,42,ex_nominee,Red Mars,1994,SF,Bantam Spectra,1
Kevin J. Anderson,male,1962,32,debutant,Assemblers of Infinity,1994,SF,Bantam Spectra,0
Doug Beason,male,1953,41,debutant,Assemblers of Infinity,1994,SF,Bantam Spectra,0
Nancy Kress,female,1948,46,debutant,Beggars In Spain,1994,SF,Morrow AvoNova,0
Algis Budrys,male,1931,63,debutant,Hard Landing,1994,SF,Warner Questar,0
Gene Wolfe,male,1931,63,ex_winner,Nightside the Long Sun,1994,SF,Tor,0
Connie Willis,female,1945,48,debutant,Doomsday Book,1993,SF,Bantam Spectra,1
Jane Yolen,female,1939,54,ex_nominee,Briar Rose,1993,Fantasy,Tor,0
Maureen F. McHugh,female,1959,34,debutant,China Mountain Zhang,1993,SF,Tor,0
Vernor Vinge,male,1944,49,debutant,A Fire Upon the Deep,1993,SF,Tor,0
John Barnes,male,1957,36,ex_nominee,A Million Open Doors,1993,SF,Tor,0
Karen Joy Fowler,female,1950,43,debutant,Sarah Canary,1993,Fantasy,Henry Holt,0
Michael Swanwick,male,1950,42,debutant,Stations of the Tide,1992,SF,Morrow,1
Lois McMaster Bujold,female,1949,43,ex_winner,Barrayar,1992,SF,Baen,0
Emma Bull,female,1954,38,debutant,Bone Dance,1992,SF,Ace,0
William Gibson,male,1948,44,ex_winner,The Difference Engine,1992,SF,Bantam Spectra,0
Bruce Sterling,male,1954,38,ex_nominee,The Difference Engine,1992,SF,Bantam Spectra,0
John Barnes,male,1957,35,debutant,Orbital Resonance,1992,SF,Tor,0
Pat Cadigan,female,1953,39,debutant,Synners,1992,SF,Bantam Spectra,0
Ursula K. Le Guin,male,1929,62,ex_winner,Tehanu: The Last Book of Earthsea,1991,Fantasy,Macmillan Atheneum,1
Dan Simmons,male,1948,43,debutant,The Fall of Hyperion,1991,SF,Doubleday Foundation,0
Valerie Martin,female,1948,43,debutant,Mary Reilly,1991,Fantasy,Doubleday,0
James Morrow,male,1947,44,ex_nominee,Only Begotten Daughter,1991,Fantasy,Morrow,0
John E. Stith,male,1947,44,debutant,Redshift Rendezvous,1991,SF,Ace,0
Jane Yolen,female,1939,52,ex_nominee,White Jenna,1991,Fantasy,Tor,0
Elizabeth Ann Scarborough,female,1947,43,debutant,The Healer's War,1990,Fantasy,Doubleday Foundation,1
Poul Anderson,male,1926,64,ex_nominee,The Boat of a Million Years,1990,SF,Tor,0
John Kessel,male,1950,40,debutant,Good News from Outer Space,1990,SF,Tor,0
Mike Resnick,male,1942,48,debutant,Ivory,1990,SF,Tor,0
Orson Scott Card,male,1951,39,ex_winner,Prentice Alvin,1990,Fantasy,Tor,0
Jane Yolen,female,1939,51,debutant,"Sister Light, Sister Dark",1990,Fantasy,Tor,0
Lois McMaster Bujold,female,1949,40,debutant,Falling Free,1989,SF,Baen,1
Lewis Shiner,male,1950,39,ex_nominee,Deserted Cities of the Heart,1989,SF,Doubleday Foundation,0
George Turner,male,1916,73,debutant,Drowning Towers,1989,SF,Arbor House/Morrow,0
Gregory Benford,male,1941,48,ex_winner,Great Sky River,1989,SF,Bantam Spectra,0
William Gibson,male,1948,41,ex_winner,Mona Lisa Overdrive,1989,SF,Bantam Spectra,0
Orson Scott Card,male,1951,38,ex_winner,Red Prophet,1989,Fantasy,Tor,0
Gene Wolfe,male,1931,58,ex_winner,The Urth of the New Sun,1989,SF,Tor,0
Pat Murphy,female,1955,33,debutant,The Falling Woman,1988,Fantasy,Tor,1
Greg Bear,male,1951,37,ex_nominee,The Forge of God,1988,SF,Tor,0
Gene Wolfe,male,1931,57,ex_winner,Soldier of the Mist,1988,Fantasy,Tor,0
David Brin,male,1950,38,ex_winner,The Uplift War,1988,SF,Phantasia; Bantam Spectra,0
Avram Davidson,male,1923,65,ex_nominee,Vergil in Averno,1988,Fantasy,Doubleday,0
George Alec Effinger,male,1947,41,ex_nominee,When Gravity Fails,1988,SF,Arbor House,0
Orson Scott Card,male,1951,36,ex_winner,Speaker for the Dead,1987,SF,Tor,1
William Gibson,male,1948,39,ex_winner,Count Zero,1987,SF,Arbor House,0
Gene Wolfe,male,1931,56,ex_winner,Free Live Free,1987,SF,Tor,0
Margaret Atwood,female,1939,48,debutant,The Handmaid's Tale,1987,SF,Houghton Mifflin,0
Leigh Kennedy,female,1951,36,debutant,The Journal of Nicholas the American,1987,SF,Atlantic Monthly Press,0
James Morrow,male,1947,40,debutant,This Is the Way the World Ends,1987,SF,Henry Holt,0
Orson Scott Card,male,1951,35,debutant,Ender's Game,1986,SF,Tor,1
Greg Bear,male,1951,35,debutant,Blood Music,1986,SF,Arbor House,0
Tim Powers,male,1952,34,debutant,Dinner at Deviant's Palace,1986,SF,Ace,0
Brian W. Aldiss,male,1925,61,ex_nominee,Helliconia Winter,1986,SF,Atheneum,0
David Brin,male,1950,36,ex_winner,The Postman,1986,SF,Bantam Spectra,0
Barry N. Malzberg,male,1939,47,ex_nominee,The Remaking of Sigmund Freud,1986,SF,Ballantine Del Rey,0
Bruce Sterling,male,1954,32,debutant,Schismatrix,1986,SF,Arbor House,0
William Gibson,male,1948,37,debutant,Neuromancer,1985,SF,Ace,1
Lewis Shiner,male,1950,35,debutant,Frontera,1985,SF,Baen,0
Larry Niven,male,1938,47,ex_winner,The Integral Trees,1985,SF,Ballantine Del Rey,0
Robert A. Heinlein,male,1907,78,ex_nominee,Job: A Comedy of Justice,1985,Fantasy,Ballantine Del Rey,0
Jack Dann,male,1945,40,debutant,The Man Who Melted,1985,SF,Bluejay,0
Kim Stanley Robinson,male,1952,33,debutant,The Wild Shore,1985,SF,Ace,0
David Brin,male,1950,34,debutant,Startide Rising,1984,SF,Bantam,1
Gregory Benford,male,1941,43,ex_winner,Against Infinity,1984,SF,Timescape,0
Gene Wolfe,male,1931,53,ex_winner,The Citadel of the Autarch,1984,SF,Timescape,0
Jack Vance,male,1916,68,debutant,Lyonesse,1984,Fantasy,Berkley,0
R. A. MacAvoy,female,1949,35,debutant,Tea with the Black Dragon,1984,Fantasy,Bantam,0
Norman Spinrad,male,1940,44,ex_nominee,The Void Captain's Tale,1984,SF,Timescape,0
Michael Bishop,male,1945,38,ex_nominee,No Enemy But Time,1983,SF,Timescape,1
Isaac Asimov,male,1920,63,ex_winner,Foundation's Edge,1983,SF,Doubleday,0
Robert A. Heinlein,male,1907,76,ex_nominee,Friday,1983,SF,"Holt, Rinehart & Winston",0
Brian W. Aldiss,male,1925,58,debutant,Helliconia Spring,1983,SF,Atheneum,0
Gene Wolfe,male,1931,52,ex_winner,The Sword of the Lictor,1983,SF,Timescape,0
Philip K. Dick,male,1928,55,ex_nominee,The Transmigration of Timothy Archer,1983,SF,Timescape,0
Gene Wolfe,male,1931,51,ex_nominee,The Claw of the Conciliator,1982,SF,Timescape,1
John Crowley,male,1942,40,debutant,"Little, Big",1982,Fantasy,Bantam,0
Julian May,female,1931,51,debutant,The Many-Colored Land,1982,SF,Houghton Mifflin,0
A. A. Attanasio,male,1951,31,debutant,Radix,1982,SF,Morrow,0
Russell Hoban,male,1925,57,debutant,Riddley Walker,1982,SF,Summit,0
Suzy McKee Charnas,female,1939,43,debutant,The Vampire Tapestry,1982,Fantasy,Simon & Schuster,0
Gregory Benford,male,1941,40,ex_nominee,Timescape,1981,SF,Simon & Schuster,1
Frederik Pohl,male,1919,62,ex_winner,Beyond the Blue Event Horizon,1981,SF,Ballantine Del Rey,0
Walter S. Tevis,male,1928,53,debutant,Mockingbird,1981,SF,Doubleday,0
Robert Stallman,male,1930,51,debutant,The Orphan,1981,Fantasy,Pocket,0
Gene Wolfe,male,1931,50,debutant,The Shadow of the Torturer,1981,SF,Simon & Schuster,0
Joan D. Vinge,female,1948,33,debutant,The Snow Queen,1981,SF,The Dial Press/Quantum,0
Arthur C. Clarke,male,1917,63,ex_winner,The Fountains of Paradise,1980,SF,Harcourt Brace Jovanovich,1
Frederik Pohl,male,1919,61,ex_winner,Jem,1980,SF,St. Martin's,0
Kate Wilhelm,female,1928,52,ex_nominee,Juniper Time,1980,SF,Harper & Row,0
Thomas M. Disch,male,1940,40,ex_nominee,On Wings of Song,1980,SF,St. Martin's,0
Richard Cowper,male,1926,54,debutant,The Road to Corlay,1980,SF,Pocket,0
John Varley,male,1947,33,debutant,Titan,1980,SF,Berkley/Putnam,0
Vonda N. McIntyre,female,1948,31,ex_nominee,Dreamsnake,1979,SF,Houghton Mifflin,1
Tom Reamy,male,1935,44,debutant,Blind Voices,1979,Fantasy,Berkley Putnam,0
C. J. Cherryh,female,1942,37,debutant,The Faded Sun: Kesrith,1979,SF,DAW,0
Gore Vidal,male,1925,54,debutant,Kalki,1979,SF,Random House,0
Gardner Dozois,male,1947,32,debutant,Strangers,1979,SF,Berkley/Putnam,0
Frederik Pohl,male,1919,59,ex_winner,Gateway,1978,SF,St. Martin's,1
Terry Carr,male,1937,41,debutant,Cirque,1978,SF,Bobbs-Merrill,0
Gregory Benford,male,1941,37,debutant,In the Ocean of Night,1978,SF,Dial,0
David Gerrold,male,1944,34,ex_nominee,Moonstar Odyssey,1978,SF,NAL/Signet,0
Richard A. Lupoff,male,1935,43,debutant,Sword of the Demon,1978,Fantasy,Harper & Row,0
Frederik Pohl,male,1919,58,debutant,Man Plus,1977,SF,Random House,1
Larry Niven,male,1938,39,ex_winner,Inferno,1977,Fantasy,Pocket,0
Jerry Pournelle,male,1933,44,ex_nominee,Inferno,1977,Fantasy,Pocket,0
Marta Randall,female,1948,29,debutant,Islands,1977,SF,Pyramid,0
Robert Silverberg,male,1935,42,ex_winner,Shadrach in the Furnace,1977,SF,Bobbs-Merrill,0
Samuel R. Delany,male,1942,35,ex_winner,Triton,1977,SF,Bantam,0
Kate Wilhelm,female,1928,49,ex_nominee,Where Late the Sweet Birds Sang,1977,SF,Harper & Row,0
Joe Haldeman,male,1943,33,debutant,The Forever War,1976,SF,St. Martin's,1
Arthur Byron Cover,male,1950,26,debutant,Autumn Angels,1976,Fantasy,Pyramid,0
Tanith Lee,female,1947,29,debutant,The Birthgrave,1976,SF,DAW,0
Alfred Bester,male,1913,63,debutant,The Computer Connection,1976,SF,Berkley Putnam,0
Samuel R. Delany,male,1942,34,ex_winner,Dhalgren,1976,Fantasy,Bantam,0
Roger Zelazny,male,1937,39,ex_nominee,Doorways in the Sand,1976,SF,Harper & Row,0
Ian Watson,male,1943,33,debutant,The Embedding,1976,SF,Scribner's,0
Vonda N. McIntyre,female,1948,28,debutant,The Exile Waiting,1976,SF,Nelson Doubleday,0
Joanna Russ,female,1937,39,ex_nominee,The Female Man,1976,SF,Bantam,0
Michael Bishop,male,1945,31,debutant,A Funeral for the Eyes of Fire,1976,SF,Ballantine,0
Barry N. Malzberg,male,1939,37,debutant,Guernica Night,1976,SF,Bobbs-Merrill,0
Marion Zimmer Bradley,female,1930,46,debutant,The Heritage of Hastur,1976,Fantasy,DAW,0
Italo Calvino,male,1923,53,debutant,Invisible Cities,1976,Fantasy,Harcourt Brace Jovanovich,0
Poul Anderson,male,1926,50,ex_nominee,A Midsummer Tempest,1976,Fantasy,Doubleday,0
Katherine MacLean,female,1925,51,debutant,Missing Man,1976,SF,Berkley Putnam,0
Larry Niven,male,1938,38,ex_winner,The Mote in God's Eye,1976,SF,Simon & Schuster,0
Jerry Pournelle,male,1933,43,debutant,The Mote in God's Eye,1976,SF,Simon & Schuster,0
E. L. Doctorow,male,1931,45,debutant,Ragtime,1976,SF,Random House,0
Robert Silverberg,male,1935,41,ex_winner,The Stochastic Man,1976,SF,Harper & Row,0
Ursula K. Le Guin,male,1929,46,ex_winner,The Dispossessed,1975,SF,Harper & Row,1
Thomas M. Disch,male,1940,35,ex_nominee,334,1975,SF,Avon,0
Philip K. Dick,male,1928,47,ex_nominee,"Flow My Tears, the Policeman Said",1975,SF,Doubleday,0
T. J. Bass,male,1932,43,ex_nominee,The Godwhale,1975,SF,Ballantine,0
Arthur C. Clarke,male,1917,57,debutant,Rendezvous with Rama,1974,SF,Harcourt Brace Jovanovich,1
